Time (s),Voltage (V)
16.595,0.89
16.603,0.0
16.616,1.22
16.624,0.64
16.636,0.0
16.648,1.49
16.657,0.0
16.669,0.0
16.677,0.87
16.689,0.0
16.698,1.19
16.71,0.72
16.718,0.0
16.73,1.69
16.739,0.15
16.751,0.35
16.759,1.14
16.771,0.0
16.784,1.18
16.792,0.64
16.804,0.0
16.812,1.71
16.825,0.0
16.833,0.35
16.845,1.05
16.853,0.0
16.866,1.22
16.874,0.6
16.886,0.0
16.894,1.74
16.907,0.0
16.919,0.37
16.927,0.96
16.939,0.0
16.947,1.52
16.96,0.49
16.968,0.0
16.98,1.5
16.988,0.29
17.001,0.29
17.009,1.04
17.021,0.0
17.029,1.64
17.042,0.51
17.054,0.0
17.062,1.6
17.074,0.14
17.083,0.6
17.095,0.97
17.103,0.0
17.115,1.52
17.124,0.44
17.136,0.0
17.144,1.68
17.156,0.0
17.165,0.76
17.177,1.04
17.189,0.0
17.197,1.38
17.21,0.29
17.218,0.0
17.23,1.67
17.238,0.0
17.251,0.78
17.259,0.79
17.271,0.0
17.279,1.49
17.292,0.12
17.3,0.0
17.312,1.68
17.324,0.27
17.333,0.77
17.345,0.95
17.353,0.0
17.365,1.26
17.374,0.45
17.386,0.0
17.394,1.62
17.406,0.24
17.414,0.82
17.427,0.88
17.435,0.0
17.447,1.53
17.459,0.0
17.468,0.0
17.48,1.34
17.488,0.03
17.5,0.72
17.509,0.92
17.521,0.0
17.529,1.73
17.541,0.0
17.55,0.05
17.562,1.33
17.57,0.0
17.582,1.39
17.595,0.78
17.603,0.0
17.615,1.52
17.623,0.1
17.636,0.0
17.644,1.14
17.656,0.0
17.664,1.19
17.677,0.81
17.685,0.0
17.697,1.67
17.705,0.21
17.717,0.21
17.73,1.02
17.738,0.0
17.75,1.09
17.759,0.77
17.771,0.0
17.779,1.71
17.791,0.0
17.799,0.34
17.812,1.03
17.82,0.0
17.832,1.19
17.84,0.7
17.853,0.0
17.865,1.63
17.873,0.0
17.885,0.12
17.894,1.02
17.906,0.0
17.914,0.92
17.926,0.6
17.935,0.0
17.947,1.79
17.955,0.28
17.967,0.22
17.976,0.93
17.988,0.0
18.0,1.01
18.008,0.6
18.021,0.0
18.029,1.76
18.041,0.0
18.049,0.29
18.062,0.79
18.07,0.0
18.082,1.49
18.09,0.49
18.102,0.0
18.111,1.52
18.123,0.02
18.135,0.46
18.144,0.91
18.156,0.0
18.164,0.97
18.176,0.44
18.184,0.0
18.197,1.74
18.205,0.0
18.217,0.6
18.225,0.8
18.238,0.0
18.246,1.58
18.258,0.29
18.27,0.0
18.279,1.7
18.291,0.27
18.299,0.65
18.311,0.91
18.32,0.0
18.332,1.25
18.34,0.3
18.352,0.0
18.361,1.61
18.373,0.0
18.381,0.82
18.393,0.94
18.406,0.0
18.414,1.39
18.426,0.34
18.435,0.0
18.447,1.57
18.455,0.1
18.467,0.78
18.475,0.84
18.488,0.0
18.496,1.33
18.508,0.11
18.516,0.0
18.528,1.28
18.541,0.0
18.549,0.85
18.561,0.83
18.57,0.0
18.582,1.6
18.59,0.0
18.602,0.0
18.61,1.24
18.623,0.0
18.631,1.1
18.643,0.81
18.651,0.0
18.664,1.3
18.676,0.15
18.684,0.0
18.696,1.14
18.705,0.0
18.717,0.83
18.725,0.74
